,OrderNumber,OrderDate,ItemName,Quantity,ProductPrice,TotalProducts
0,16118,03/08/2019 20:25,King Prawn Balti,1,1,6
1,16118,03/08/2019 20:25,Garlic Naan,1,1,6
2,16118,03/08/2019 20:25,Mango Chutney,1,1,6
3,16116,03/08/2019 20:09,Chicken Pakora,1,1,5
4,16115,03/08/2019 20:01,Red Sauce,1,1,7
5,16113,03/08/2019 19:42,Peshwari Naan,1,1,5
6,16112,03/08/2019 19:41,Plain Papadum,2,2,4
7,16111,03/08/2019 19:29,Peshwari Naan,1,1,4
8,16110,03/08/2019 19:28,Saag Paneer,1,1,8
9,16110,03/08/2019 19:28,Plain Naan,1,1,8
10,16109,03/08/2019 19:26,Chicken Tikka Masala,1,1,7
11,16109,03/08/2019 19:26,Madras - Chicken Tikka,1,1,7
12,16109,03/08/2019 19:26,Mushroom Rice,2,2,7
13,16108,03/08/2019 19:25,Onion Bhajee,1,1,15
14,16108,03/08/2019 19:25,Plain Papadum,8,8,15
15,16108,03/08/2019 19:25,Onion Chutney,1,1,15
16,16108,03/08/2019 19:25,Chicken Tikka (Main),1,1,15
17,16108,03/08/2019 19:25,Plain Rice,1,1,15
18,16107,03/08/2019 19:16,Onion Bhajee,1,1,4
19,16107,03/08/2019 19:16,Korma - Chicken,1,1,4
20,16106,03/08/2019 18:37,Chicken Tikka (Main),1,1,3
21,16105,03/08/2019 18:36,Mushroom Bhajee,1,1,9
22,16104,03/08/2019 18:36,Plain Naan,1,1,4
23,16101,03/08/2019 18:12,Madras - Lamb,1,1,3
24,16100,03/08/2019 18:00,Masala Sauce,1,1,9
25,16100,03/08/2019 18:00,Bottle Coke,1,1,9
26,16100,03/08/2019 18:00,Peshwari Naan,1,1,9
27,16100,03/08/2019 18:00,Korma Sauce,1,1,9
28,16099,03/08/2019 17:58,Pathia - Prawn,1,1,5
29,16098,03/08/2019 17:57,Bhuna - Lamb,1,1,6
30,16098,03/08/2019 17:57,Special Fried Rice,2,2,6
31,16097,03/08/2019 17:52,Spicy Papadum,1,1,9
32,16096,03/08/2019 17:18,Pilau Rice,1,1,5
33,16096,03/08/2019 17:18,Chicken Tikka Masala,1,1,5
34,16096,03/08/2019 17:18,Bhuna - Lamb,1,1,5
35,16096,03/08/2019 17:18,Plain Papadum,2,2,5
36,16094,02/08/2019 20:23,Onion Bhajee,1,1,9
37,16094,02/08/2019 20:23,Chicken Tikka Karahi,1,1,9
38,16094,02/08/2019 20:23,Pilau Rice,1,1,9
39,16093,02/08/2019 20:18,Onion Bhajee,1,1,6
40,16093,02/08/2019 20:18,Chicken Tikka Masala,1,1,6
41,16092,02/08/2019 19:33,Chicken Tikka Masala,1,1,5
42,16092,02/08/2019 19:33,Pilau Rice,1,1,5
43,16091,02/08/2019 19:19,Plain Papadum,3,3,5
44,16091,02/08/2019 19:19,Lemon Rice,1,1,5
45,16091,02/08/2019 19:19,Chapati,1,1,5
46,16090,02/08/2019 19:14,Peshwari Naan,1,1,2
47,16089,02/08/2019 18:41,Onion Bhajee,1,1,21
48,16089,02/08/2019 18:41,Chicken Biryani,1,1,21
49,16089,02/08/2019 18:41,Madras - Chicken,1,1,21
50,16089,02/08/2019 18:41,Korma - Chicken,1,1,21
51,16089,02/08/2019 18:41,Chicken Balti,1,1,21
52,16089,02/08/2019 18:41,Chicken Tikka Chilli Masala,1,1,21
53,16089,02/08/2019 18:41,Korma - Prawn,1,1,21
54,16089,02/08/2019 18:41,Korma - King Prawn,1,1,21
55,16089,02/08/2019 18:41,Garlic Naan,1,1,21
56,16089,02/08/2019 18:41,Mango Chutney,2,2,21
57,16089,02/08/2019 18:41,Onion Chutney,6,6,21
58,16088,02/08/2019 18:18,Plain Rice,2,2,7
59,16088,02/08/2019 18:18,Plain Naan,2,2,7
60,16088,02/08/2019 18:18,Bombay Aloo,1,1,7
61,16087,02/08/2019 17:57,Spicy Papadum,1,1,5
62,16086,02/08/2019 17:43,Onion Bhajee,1,1,8
63,16086,02/08/2019 17:43,Mango Chutney,1,1,8
64,16086,02/08/2019 17:43,Lamb Biryani,1,1,8
65,16086,02/08/2019 17:43,Chicken Biryani,1,1,8
66,16085,02/08/2019 17:26,Chicken Tikka Jalfrezi,1,1,7
67,16085,02/08/2019 17:26,Bombay Aloo,1,1,7
68,16085,02/08/2019 17:26,Dupiaza - Chicken,1,1,7
69,16084,02/08/2019 14:11,Muttar Paneer,1,1,4
70,16083,02/08/2019 11:35,Tandoori Mixed Grill,1,1,15
71,16083,02/08/2019 11:35,Chicken Tikka Masala,1,1,15
